exercise,bodyPart,equipment,difficulty
Forearm Twist – Dumbbell,upper_body,dumbbell,intermediate
Zottman Curl,upper_body,dumbbell,intermediate
Z Press – Dumbbell,upper_body,dumbbell,intermediate
Z Press – Barbell,upper_body,barbell,advanced
Incline Hex Press – Dumbbell,upper_body,dumbbell,intermediate
Skull Crusher – Barbell,upper_body,barbell,advanced
Skull Crusher – Dumbbell,upper_body,dumbbell,intermediate
Overhead Tricep Extension – Machine,upper_body,machine,intermediate
In-Out Rope Wave,upper_body,none,beginner
Upright Downward Internal Rotation – Cable,full_body,machine,intermediate
Upright Upward External Rotation – Cable,upper_body,machine,intermediate
Plank Pull Through,upper_body,dumbbell,intermediate
Reverse Curl – Barbell,upper_body,barbell,advanced
Hammer Curl – Cable With Rope,upper_body,machine,intermediate
Meadows Row,upper_body,barbell,advanced
One-Handed High-Cable Row,upper_body,machine,intermediate
Calf Raise – Leg Press Machine,legs,machine,intermediate
One-Handed Leaning Lateral Raise – Dumbbell,upper_body,dumbbell,intermediate
Horizontal Wood Chop – Cable,core,machine,intermediate
Single-Leg V-Up,core,bodyweight,beginner
Single-Leg Tuck-Up,core,bodyweight,beginner
Around the World – Kettlebell,core,kettlebell,intermediate
Lu Raise – Dumbbell,upper_body,dumbbell,intermediate
Standing External Shoulder Rotation – Dumbbell,upper_body,dumbbell,intermediate
Crush Grip Curl – Dumbbell,upper_body,dumbbell,intermediate
One-Handed Hammer Curl – Dumbbell,upper_body,dumbbell,intermediate
One-Handed Hammer Isometric Hold – Dumbbell,upper_body,dumbbell,intermediate
Hanging Side-To-Side Knee Drive,upper_body,pullup_bar,advanced
Low Chest Fly – Cable,upper_body,machine,intermediate
Lateral Lunge – Dumbbell,legs,dumbbell,intermediate
Single-Arm Bottoms-Up Overhead Press – Kettlebell,upper_body,kettlebell,intermediate
Close-Grip Incline Bench Press – Dumbbell,upper_body,dumbbell,intermediate
Copenhagen Plank with Leg Lift,legs,bench,intermediate
Alternating Z Press – Double Kettlebell,upper_body,kettlebell,intermediate
Feet-Elevated Bulgarian Row – Ring,upper_body,bench,intermediate
Alternating Arnold Press – Dumbbell,upper_body,dumbbell,intermediate
Feet-Elevated Oblique Crunch – Stability Ball,core,ball,beginner
Nordic Hamstring Curl,legs,bodyweight,beginner
Kneeling Cuban Rotation – Barbell,upper_body,barbell,advanced
Single-Arm Hang – Rings,upper_body,none,beginner
Single-Arm Front Rack Contralateral Walking Lunge – Kettlebell,legs,kettlebell,intermediate
Front Rack Knee Over Toe Split Squat – Dumbbell,legs,dumbbell,intermediate
Single-Arm Bulgarian Split Squat – Dumbbell,legs,dumbbell,intermediate
Single-Leg Romanian Deadlift – Landmine,legs,barbell,advanced
Bench Press – Machine,upper_body,machine,intermediate
Incline Bench Press – Machine,upper_body,machine,intermediate
Decline Bench Press – Machine,upper_body,machine,intermediate
One-Handed Overhead Contralateral Step-Up – Dumbbell,legs,dumbbell,intermediate
Sumo Squat – Dumbbell,legs,dumbbell,intermediate
Sumo Squat – Barbell,legs,barbell,advanced
One-Handed Suitcase Walking Lunge – Dumbbell,legs,dumbbell,intermediate
One-Handed Standing Chest Fly – Cable,upper_body,machine,intermediate
Kneeling Pallof Press,core,machine,intermediate
Isometric Pull-Up Hold,upper_body,pullup_bar,advanced
Jump Squat – Bodyweight,legs,bodyweight,beginner
Quadruped Hip Extension,legs,resistance_band,beginner
Single-Arm Front Rack Walking Lunge – Dumbbell,legs,dumbbell,intermediate
Single-Leg Romanian Deadlift Jump,legs,none,beginner
Single-Arm Thruster – Landmine,upper_body,barbell,advanced
Forearm Plank Knee to Elbow,core,none,beginner
Skull Crusher – Cable with Rope,upper_body,machine,intermediate
One-Handed Bayesian Curl – Cable,upper_body,machine,intermediate
Bottoms Up Seesaw Overhead Press – Kettlebell,upper_body,kettlebell,intermediate
Stability Ball Pullover – Dumbbell,upper_body,dumbbell,intermediate
Front Rack Low Switch Cossack Squat – Kettlebell,legs,kettlebell,intermediate
Alternating Single-Arm Dead Clean to Push Press – Kettlebell,upper_body,kettlebell,intermediate
Single Arm Half Kneeling High Row – Cable,upper_body,machine,intermediate
Archer Push Up – Rings,upper_body,none,beginner
Front Rack March – Kettlebell,upper_body,kettlebell,intermediate
Front Rack Curtsy Lunge – Barbell,legs,barbell,advanced
Hang Power Clean and Jerk,upper_body,barbell,advanced
Monster Walk – Band,legs,resistance_band,beginner
Seated Good Morning – Barbell,upper_body,barbell,advanced
Alternating Tall Kneeling Arnold Press – Hand Weights,upper_body,dumbbell,intermediate
Seated Rotational Slam – Medicine Ball,core,ball,beginner
Horn Grip Bicep Curl – Kettlebell,upper_body,kettlebell,intermediate
Swing and High Pull – Double Kettlebell,upper_body,kettlebell,intermediate
Split Squat – Barbell,legs,barbell,advanced
Rebound External Rotation – Band,upper_body,resistance_band,beginner
One-Arm Row Lunge – Band,upper_body,resistance_band,beginner
One-Leg Prone Hip Extension,legs,none,beginner
Drinking Bird Row – Band,upper_body,resistance_band,beginner
Lying Hamstring Bridge,legs,bodyweight,beginner
Standing Clamshell,legs,resistance_band,beginner
One-Leg Front Foot Elevated Split Squat – Dumbbell,legs,dumbbell,intermediate
Hip Hinge – Band,legs,resistance_band,beginner
Seated Half Good Morning – Band,upper_body,resistance_band,beginner
Prisoner Squat – Bodyweight,legs,bodyweight,beginner
One-Leg Lying Heel Slide,legs,bodyweight,beginner
Thumbs-Up Lateral Raise – Dumbbell,upper_body,dumbbell,intermediate
One-Leg Kneeling Bottoms-Up Hold – Kettlebell,upper_body,kettlebell,intermediate
Alternating Side Lunge Pull – Plate,legs,none,beginner
Hand-Release Push-Up,upper_body,none,beginner
Run,full_body,none,beginner
Bike,full_body,cardio_machine,intermediate
Row,full_body,none,beginner
Elliptical,full_body,cardio_machine,intermediate
Stair Climb,full_body,none,beginner
Swim,full_body,none,beginner
Jump Rope,full_body,none,beginner
Aerobics Class,full_body,none,beginner
High-Intensity Interval Training (HIIT),full_body,none,beginner
Prone Assisted Neck Bridge,upper_body,ball,beginner
One-Arm Tabletop Spine Twist,upper_body,none,beginner
One-Leg Wide Lunge,legs,bodyweight,beginner
One-Leg Seated Rock-Paper-Scissor Toes,legs,bodyweight,beginner
One-Leg Seated Knee-to-Chest – Foam Roller,upper_body,bodyweight,beginner
Seated Calf Massage – Lacrosse Ball,legs,ball,beginner
One-Arm Front Bend Wall Push,upper_body,none,beginner
One-Leg Lying Ankle Nerve Floss,legs,bodyweight,beginner
Lying Overhead Shoulder Rotation – Dowel,upper_body,none,beginner
Neck Twist – Lacrosse Ball,full_body,ball,beginner
Alternating Lying Chin Tuck Neck Twist,full_body,bodyweight,beginner
One-Arm Lying Spine Twist – Yoga Block,upper_body,none,beginner
One-Leg Lying Outer Thigh Hip Twist,legs,bodyweight,beginner
One-Leg Foot Plank – Yoga Block,legs,ball,beginner
One-Arm Lunging Lower Back Wall Twist,upper_body,none,beginner
One-Leg Seated Hamstring Roll – Foam Roller,legs,bodyweight,beginner
One-Leg Elevated Pigeon Stretch,legs,bench,intermediate
One-Arm Bicep Wall Stretch,upper_body,none,beginner
Segmental Lower Back Flexion,upper_body,none,beginner
One-Leg Incline Reverse Pigeon – Bench,legs,bench,intermediate
One-Leg Incline Pigeon Stretch – Bench,legs,bench,intermediate
One-Leg Seated Pretzel Stretch,legs,bodyweight,beginner
One-Leg Lying Pretzel Stretch,legs,bodyweight,beginner
Prone Quad Rolling – Foam Roller,legs,bodyweight,beginner
Shoulder Teepee – Dowel,upper_body,none,beginner
Seated Crossed Leg Forward Stretch,upper_body,bodyweight,beginner
One-Leg Bent Knee Calf Stretch – Yoga Block,legs,kettlebell,intermediate
Overhead Shrug Neck Rotation,full_body,none,beginner
Front Line Opener,upper_body,bodyweight,beginner
One-Arm Kneeling Spine Twist,upper_body,bodyweight,beginner
One-Leg Prone Quad Stretch – Band,legs,resistance_band,beginner
One-Leg Seated Calf Release – Lacrosse Ball,legs,ball,beginner
One-Leg Seated Ankle Crosses,legs,none,beginner
Hamstring Floor Sweep,upper_body,bodyweight,beginner
Halo Neck Rotation,full_body,none,beginner
One-Arm Prone Rotator Cuff External Rotation,upper_body,bodyweight,beginner
Kneeling Reclining Hero Pose – Pillow,legs,bodyweight,beginner
Wrist Extensor Rotation Stretch,upper_body,bench,intermediate
One-Arm Posterior Shoulder Pull – Dowel,upper_body,none,beginner
One-Arm Kneeling Lower Back Wall Sweep – Foam Roller,upper_body,none,beginner
One-Arm Front Shoulder Active Massage – Lacrosse Ball,upper_body,ball,beginner
Seated Knee To Heel Taps,legs,none,beginner
Assisted Wrist Rotation,upper_body,none,beginner
One-Leg Kneeling Couch Quad Stretch,legs,bodyweight,beginner
Hands-And-Knees Segmental Cat Cow,upper_body,bodyweight,beginner
One-Arm Seated Lower Back Rotation Stretch,upper_body,none,beginner
